Asset,ADF_stat,p-value,Stationary
TY_US10Y,-39.75,0.0,True
RX_BUND,-52.8894,0.0,True
G_GILT,-12.7746,0.0,True
OAT_FRANCE,-52.3035,0.0,True
ZINC,-53.1233,0.0,True
LEAD,-40.4184,0.0,True
AUDJPY,-31.4531,0.0,True
AUDUSD,-54.509,0.0,True
BRENT_CRUDE,-36.6963,0.0,True
WTI_CRUDE,-10.1369,0.0,True
EURCHF,-20.4445,0.0,True
EURGBP,-24.076,0.0,True
EURJPY,-55.0847,0.0,True
EURUSD,-23.0353,0.0,True
GBPJPY,-15.5756,0.0,True
GBPUSD,-51.8912,0.0,True
GOLD,-55.1819,0.0,True
COPPER,-55.3046,0.0,True
NAT_GAS,-24.712,0.0,True
NZDUSD,-54.1557,0.0,True
PLATINUM,-20.9487,0.0,True
SILVER,-35.8186,0.0,True
USDCAD,-52.9097,0.0,True
USDCHF,-31.8144,0.0,True
USDJPY,-53.7612,0.0,True
USDNOK,-39.5043,0.0,True
USDSEK,-55.1154,0.0,True
ASX200,-13.1017,0.0,True
DOWJONES,-16.2732,0.0,True
CAC40,-12.2103,0.0,True
FTSE100,-16.0231,0.0,True
DAX,-14.1492,0.0,True
SP500,-14.2751,0.0,True
HANGSENG,-11.7807,0.0,True
NIKKEI225,-36.8261,0.0,True
NASDAQ100,-14.1908,0.0,True
RUSSELL2000,-14.0921,0.0,True
EUROSTOXX50,-12.2112,0.0,True
VIX,-22.1427,0.0,True
