,Cause,Cause_par,Net
VIX,33,10,23
NASDAQ100,35,22,13
BRENT_CRUDE,32,19,13
NAT_GAS,18,6,12
DAX,33,21,12
SILVER,26,15,11
COPPER,21,10,11
EUROSTOXX50,32,21,11
RUSSELL2000,36,25,11
OAT_FRANCE,23,13,10
TY_US10Y,24,14,10
DOWJONES,37,27,10
CAC40,32,22,10
SP500,36,28,8
WTI_CRUDE,29,21,8
GOLD,26,18,8
G_GILT,26,19,7
FTSE100,32,26,6
RX_BUND,22,16,6
PLATINUM,27,21,6
HANGSENG,25,25,0
ZINC,19,21,-2
EURUSD,17,21,-4
USDCAD,20,25,-5
LEAD,20,25,-5
GBPUSD,19,26,-7
ASX200,24,31,-7
NIKKEI225,20,28,-8
AUDUSD,20,28,-8
USDNOK,28,37,-9
AUDJPY,16,28,-12
GBPJPY,13,27,-14
NZDUSD,16,31,-15
EURCHF,6,21,-15
EURGBP,11,28,-17
USDSEK,12,29,-17
EURJPY,10,28,-18
USDCHF,10,30,-20
USDJPY,3,26,-23
