Asset1,Asset2,Optimal_Lag,Impact_A1_on_A2,Impact_A2_on_A1,VAR_Leader,VAR_Follower,GC_pval_A1→A2,GC_pval_A2→A1,Bidirectional,AIC,Frequency
DOWJONES,AUDJPY,1,0.055463,0.039559,DOWJONES,AUDJPY,0.065368,0.57469,False,-16.0175,Weekly
SP500,AUDJPY,1,0.081706,0.015552,SP500,AUDJPY,0.006865,0.82315,False,-16.0412,Weekly
NASDAQ100,AUDJPY,1,0.072041,0.022992,NASDAQ100,AUDJPY,0.003257,0.772858,False,-15.6162,Weekly
VIX,AUDJPY,2,0.037529,0.685905,AUDJPY,VIX,0.0,0.607528,False,-12.216,Weekly
SP500,NIKKEI225,2,0.331079,0.034122,SP500,NIKKEI225,0.00169,0.851052,False,-15.1726,Weekly
DOWJONES,NIKKEI225,2,0.178278,0.053356,DOWJONES,NIKKEI225,0.032752,0.653336,False,-15.0934,Weekly
SP500,AUDUSD,1,0.060076,0.057161,SP500,AUDUSD,0.030972,0.467496,False,-16.2903,Weekly
SP500,USDCAD,1,0.019303,0.0775,USDCAD,SP500,0.317759,0.458317,False,-16.8427,Weekly
TY_US10Y,USDJPY,1,0.415931,0.033261,TY_US10Y,USDJPY,0.0,0.214265,False,-18.8142,Weekly
RX_BUND,EURJPY,2,0.211053,0.077024,RX_BUND,EURJPY,0.002423,0.321399,False,-18.334,Weekly
COPPER,AUDUSD,1,0.037433,0.066612,AUDUSD,COPPER,0.05297,0.547078,False,-15.5403,Weekly
GOLD,USDJPY,1,0.090086,0.022613,GOLD,USDJPY,0.001086,0.75626,False,-16.651,Weekly
BRENT_CRUDE,USDCAD,1,0.023707,0.393928,USDCAD,BRENT_CRUDE,0.00437,0.082892,False,-15.1783,Weekly
DAX,SP500,2,0.291266,0.240152,DAX,SP500,1e-06,0.009297,True,-15.4355,Weekly
EUROSTOXX50,NIKKEI225,1,0.331329,0.091074,EUROSTOXX50,NIKKEI225,0.0,0.085204,False,-15.0694,Weekly
